stage: 1
0 0.0726009 0.538251
0 0.0727148 0.538246
0 0.0728288 0.538244
0 0.0729428 0.538224
0 0.0730568 0.538223
0 0.0731707 0.538221
0 0.0732847 0.538217
0 0.0733987 0.538215
0 0.0735127 0.538214
0 0.0736266 0.538213
0 0.0737406 0.538209
0 0.0738546 0.538203
0 0.0739685 0.538191
0 0.0740825 0.538178
0 0.0741965 0.538178
0 0.0743105 0.538176
0 0.0744244 0.538172
0 0.0745384 0.538159
0 0.0746524 0.538159
0 0.0747664 0.538158
0 0.0748803 0.538158
0 0.0749943 0.538158
0 0.0751083 0.538153
0 0.0752222 0.538145
0 0.0753362 0.538139
0 0.0754502 0.538138
0 0.0755642 0.538127
0 0.0756781 0.538118
0 0.0757921 0.538117
0 0.0759061 0.538112
0 0.0760201 0.538105
0 0.076134 0.538098
0 0.076248 0.538088
0 0.076362 0.538076
0 0.076476 0.538074
0 0.0765899 0.538073
0 0.0767039 0.538063
0 0.0768179 0.53806
0 0.0769318 0.538048
0 0.0770458 0.538037
0 0.0771598 0.538034
0 0.0772738 0.538029
0 0.0773877 0.538007
0 0.0775017 0.538
0 0.0776157 0.538
0 0.0777297 0.537996
0 0.0778436 0.537985
0 0.0779576 0.53798
0 0.0780716 0.537977
0 0.0781855 0.537973
0 0.0782995 0.537968
0 0.0784135 0.537964
0 0.0785275 0.537964
0 0.0786414 0.537964
0 0.0787554 0.537957
0 0.0788694 0.537956
0 0.0789834 0.537946
0 0.0790973 0.537938
0 0.0792113 0.537934
0 0.0793253 0.537929
0 0.0794393 0.53792
0 0.0795532 0.53791
0 0.0796672 0.537909
0 0.0797812 0.537904
0 0.0798951 0.5379
0 0.0800091 0.537899
0 0.0801231 0.537895
0 0.0802371 0.537894
0 0.080351 0.537891
0 0.080465 0.537883
0 0.080579 0.537861
0 0.080693 0.537852
0 0.0808069 0.537848
0 0.0809209 0.537846
0 0.0810349 0.537838
0 0.0811488 0.537821
0 0.0812628 0.537816
0 0.0813768 0.537812
0 0.0814908 0.537806
0 0.0816047 0.537774
0 0.0817187 0.537758
0 0.0818327 0.537753
0 0.0819467 0.537744
0 0.0820606 0.537741
0 0.0821746 0.537737
0 0.0822886 0.537731
0 0.0824026 0.537723
0 0.0825165 0.537722
0 0.0826305 0.537718
0 0.0827445 0.537715
0 0.0828584 0.53771
0 0.0829724 0.537707
0 0.0830864 0.537705
0 0.0832004 0.537705
0 0.0833143 0.5377
0 0.0834283 0.537684
0 0.0835423 0.537684
0 0.0836563 0.537675
0 0.0837702 0.537672
0 0.0838842 0.537668
0 0.0839982 0.537665
0 0.0841121 0.537647
0 0.0842261 0.537642
0 0.0843401 0.537633
0 0.0844541 0.537632
0 0.084568 0.537626
0 0.084682 0.537617
0 0.084796 0.537606
0 0.08491 0.537591
0 0.0850239 0.537588
0 0.0851379 0.537583
0 0.0852519 0.537572
0 0.0853659 0.537568
0 0.0854798 0.537563
0 0.0855938 0.537559
0 0.0857078 0.537555
0 0.0858217 0.537553
0 0.0859357 0.537548
0 0.0860497 0.537547
0 0.0861637 0.537537
0 0.0862776 0.537536
0 0.0863916 0.537527
0 0.0865056 0.537525
0 0.0866196 0.537513
0 0.0867335 0.537512
0 0.0868475 0.537505
0 0.0869615 0.537504
0 0.0870755 0.537501
0 0.0871894 0.537494
0 0.0873034 0.537484
0 0.0874174 0.537471
0 0.0875313 0.53747
0 0.0876453 0.537463
0 0.0877593 0.53746
0 0.0878733 0.537441
0 0.0879872 0.537439
0 0.0881012 0.537438
0 0.0882152 0.537427
0 0.0883292 0.537426
0 0.0884431 0.537426
0 0.0885571 0.537409
0 0.0886711 0.537391
0 0.088785 0.537388
0 0.088899 0.537385
0 0.089013 0.53737
0 0.089127 0.537363
0 0.0892409 0.537355
0 0.0893549 0.537345
0 0.0894689 0.537333
0 0.0895829 0.537332
0 0.0896968 0.537312
0 0.0898108 0.537299
0 0.0899248 0.537296
0 0.0900388 0.537288
0 0.0901527 0.537279
0 0.0902667 0.537275
0 0.0903807 0.537263
0 0.0904946 0.537262
0 0.0906086 0.537261
0 0.0907226 0.537255
0 0.0908366 0.53725
0 0.0909505 0.537249
0 0.0910645 0.537243
0 0.0911785 0.537232
0 0.0912925 0.537232
0 0.0914064 0.537231
0 0.0915204 0.537223
0 0.0916344 0.537222
0 0.0917483 0.537222
0 0.0918623 0.53722
0 0.0919763 0.537219
0 0.0920903 0.537218
0 0.0922042 0.537215
0 0.0923182 0.53721
0 0.0924322 0.537205
0 0.0925462 0.5372
0 0.0926601 0.537193
0 0.0927741 0.53718
0 0.0928881 0.53718
0 0.0930021 0.537176
0 0.093116 0.537167
0 0.09323 0.537139
0 0.093344 0.537131
0 0.0934579 0.53713
0 0.0935719 0.53713
0 0.0936859 0.537126
0 0.0937999 0.537124
0 0.0939138 0.537124
0 0.0940278 0.537107
0 0.0941418 0.537102
0 0.0942558 0.537093
0 0.0943697 0.53709
0 0.0944837 0.537062
0 0.0945977 0.53706
0 0.0947116 0.537049
0 0.0948256 0.537043
0 0.0949396 0.537041
0 0.0950536 0.537036
0 0.0951675 0.537031
0 0.0952815 0.537029
0 0.0953955 0.537026
0 0.0955095 0.537024
0 0.0956234 0.537021
0 0.0957374 0.53702
0 0.0958514 0.537015
0 0.0959654 0.537013
0 0.0960793 0.537007
0 0.0961933 0.537004
0 0.0963073 0.536998
0 0.0964212 0.536992
0 0.0965352 0.536981
0 0.0966492 0.53698
0 0.0967632 0.536979
0 0.0968771 0.536976
0 0.0969911 0.536974
0 0.0971051 0.536968
0 0.0972191 0.536965
0 0.097333 0.536963
0 0.097447 0.536958
0 0.097561 0.536956
0 0.0976749 0.53695
0 0.0977889 0.536946
0 0.0979029 0.536941
0 0.0980169 0.536931
0 0.0981308 0.536926
0 0.0982448 0.536921
0 0.0983588 0.536899
0 0.0984728 0.536897
0 0.0985867 0.536895
0 0.0987007 0.536894
0 0.0988147 0.536885
0 0.0989287 0.536874
0 0.0990426 0.53687
0 0.0991566 0.536865
0 0.0992706 0.536858
0 0.0993845 0.536857
0 0.0994985 0.536855
0 0.0996125 0.536851
0 0.0997265 0.536825
0 0.0998404 0.536823
0 0.0999544 0.53682
0 0.100068 0.536816
0 0.100182 0.536816
0 0.100296 0.536814
0 0.10041 0.536812
0 0.100524 0.536809
0 0.100638 0.536809
0 0.100752 0.536807
0 0.100866 0.536796
0 0.10098 0.536793
0 0.101094 0.536769
0 0.101208 0.536763
0 0.101322 0.536761
0 0.101436 0.536746
0 0.10155 0.536743
0 0.101664 0.536742
0 0.101778 0.536741
0 0.101892 0.53673
0 0.102006 0.536727
0 0.10212 0.536724
0 0.102234 0.536722
0 0.102348 0.536711
0 0.102462 0.536705
0 0.102576 0.536698
0 0.10269 0.536698
0 0.102804 0.536689
0 0.102918 0.536679
0 0.103032 0.536674
0 0.103146 0.536673
0 0.10326 0.536668
0 0.103374 0.536657
0 0.103488 0.536644
0 0.103602 0.536642
